Date,Temp_Min,Temp_Max,Temp_Avg,Humidity,Rain,Sunshine,Wind_Max,Wind_Avg,Weather_Class
2024-01-01,20.8,30.0,25.3,81.0,37.1,4.1,3.0,0.0,Moderate Rain
2024-01-02,22.4,30.4,25.6,82.0,3.8,2.7,1.0,0.0,Light Rain
2024-01-03,22.4,28.8,24.9,83.0,6.4,1.1,3.0,1.0,Light Rain
2024-01-04,22.0,26.8,22.5,91.0,1.6,1.4,2.0,0.0,Light Rain
2024-01-05,20.2,29.6,23.9,82.0,32.5,0.0,5.0,0.0,Moderate Rain
2024-01-06,20.2,28.2,23.4,87.0,22.5,3.6,1.0,0.0,Moderate Rain
2024-01-07,20.6,28.4,22.8,90.0,9.3,0.3,1.0,0.0,Light Rain
2024-01-08,20.0,28.4,23.8,85.0,37.2,2.8,2.0,0.0,Moderate Rain
2024-01-09,21.7,30.7,23.5,86.0,2.8,3.3,4.0,0.0,Light Rain
2024-01-10,20.6,29.2,23.6,88.0,14.3,3.0,3.0,0.0,Light Rain
2024-01-11,20.6,29.4,22.9,91.0,61.7,3.6,3.0,0.0,Heavy Rain
2024-01-12,20.6,29.4,24.5,76.0,49.3,1.0,3.0,0.0,Moderate Rain
2024-01-13,20.4,30.6,24.7,76.0,24.6,3.2,2.0,0.0,Moderate Rain
2024-01-14,19.9,30.8,25.6,74.0,0.0,3.5,4.0,1.0,Cloudy
2024-01-15,22.2,31.4,25.4,75.0,0.0,6.6,3.0,0.0,Partly Cloudy
2024-01-16,21.5,31.0,25.9,70.0,0.6,4.9,4.0,1.0,Light Rain
2024-01-17,17.9,29.6,24.9,76.0,1.3,5.9,5.0,2.0,Light Rain
2024-01-18,22.4,31.4,24.0,79.0,1.9,0.5,4.0,1.0,Light Rain
2024-01-19,21.1,27.2,22.7,82.0,15.0,0.0,3.0,1.0,Light Rain
2024-01-20,21.0,29.8,24.5,71.0,5.3,1.2,3.0,1.0,Light Rain
2024-01-21,21.4,29.8,24.7,75.0,0.3,4.0,5.0,1.0,Light Rain
2024-01-22,22.0,29.4,24.4,75.0,11.6,4.8,4.0,2.0,Light Rain
2024-01-23,21.2,28.6,24.5,77.0,2.5,2.2,3.0,0.0,Light Rain
2024-01-24,21.8,28.4,24.2,77.0,5.1,1.5,4.0,1.0,Light Rain
2024-01-25,20.4,32.0,26.0,70.0,4.5,4.5,5.0,1.0,Light Rain
